recipe_title,ingredient,,,,,,,,
Khitchari,1/4 teaspoon fennel seeds,,,,,,,,
Hummingbird Carrot Cake Oatmeal,2/3 cup chopped fresh pineapple,pineapple,,,,,,,
Hummingbird Carrot Cake Oatmeal,1/2 cup sliced carrot,,,,,,,,
Hummingbird Carrot Cake Oatmeal,1 teaspoon water,,,,,,,,
Hummingbird Carrot Cake Oatmeal,2/3 cup almond milk,,,,,,,,
Hummingbird Carrot Cake Oatmeal,1/2 cup old-fashioned oats,,,,,,,,
Hummingbird Carrot Cake Oatmeal,1/2 teaspoon ground cinnamon (optional),(optional),,,,,,,
Hummingbird Carrot Cake Oatmeal,1/2 teaspoon ground ginger,,,,,,,,
Hummingbird Carrot Cake Oatmeal,1 tablespoon chopped walnuts,,,,,,,,
Quinoa and Black Beans,1 teaspoon vegetable oil,,,,,,,,
Quinoa and Black Beans,"1 onion, chopped",,,,,,,,
Quinoa and Black Beans,"3 cloves garlic, chopped",,,,,,,,
Quinoa and Black Beans,3/4 cup quinoa,,,,,,,,
Quinoa and Black Beans,1 1/2 cups vegetable broth,broth,,,,,,,
Quinoa and Black Beans,1 teaspoon ground cumin,,,,,,,,
Quinoa and Black Beans,1/4 teaspoon cayenne pepper,,,,,,,,
Quinoa and Black Beans,salt and ground black pepper to taste,pepper,to,taste,,,,,
Quinoa and Black Beans,1 cup frozen corn kernels,kernels,,,,,,,
Quinoa and Black Beans,"2 (15 ounce) cans black beans, rinsed and drained",black,"beans,",rinsed,and,drained,,,
Quinoa and Black Beans,1/2 cup chopped fresh cilantro,cilantro,,,,,,,
Maple Salmon,1/4 cup maple syrup,,,,,,,,
Maple Salmon,2 tablespoons soy sauce,,,,,,,,
Maple Salmon,"1 clove garlic, minced",,,,,,,,
Maple Salmon,1/4 teaspoon garlic salt,,,,,,,,
Maple Salmon,1/8 teaspoon ground black pepper,pepper,,,,,,,
Maple Salmon,1 pound salmon,,,,,,,,
Chop Chop Salad,1 red grapefruit,,,,,,,,
Chop Chop Salad,"1 cup peeled, chopped jicama",jicama,,,,,,,
Chop Chop Salad,1 cup chopped orange bell pepper,bell,pepper,,,,,,
Chop Chop Salad,1 cup chopped cucumber,,,,,,,,
Chop Chop Salad,"1 tomato, chopped",,,,,,,,
Chop Chop Salad,"2 green onions, chopped",,,,,,,,
Chop Chop Salad,1/4 cup chopped fresh cilantro,cilantro,,,,,,,
Healthy Turmeric Chicken Stew,2 tablespoons olive oil,,,,,,,,
Healthy Turmeric Chicken Stew,"2 skinless, boneless chicken breasts, cubed","breasts,",cubed,,,,,,
Healthy Turmeric Chicken Stew,"2 sweet potatoes, cubed",,,,,,,,
Healthy Turmeric Chicken Stew,"1/2 red onion, chopped",,,,,,,,
Healthy Turmeric Chicken Stew,"1 small eggplant, cubed",,,,,,,,
Healthy Turmeric Chicken Stew,"2 cloves garlic, minced",,,,,,,,
Healthy Turmeric Chicken Stew,1 tablespoon minced fresh ginger root,ginger,root,,,,,,
Healthy Turmeric Chicken Stew,2 teaspoons ground turmeric,,,,,,,,
Healthy Turmeric Chicken Stew,1/2 cup low-sodium chicken broth,broth,,,,,,,
Turkish Orange Salad with Mediterranean Dressing,4 oranges,,,,,,,,
Turkish Orange Salad with Mediterranean Dressing,3 blood oranges,,,,,,,,
Turkish Orange Salad with Mediterranean Dressing,"1 small onion, finely diced",diced,,,,,,,
Turkish Orange Salad with Mediterranean Dressing,3 tablespoons olive oil,,,,,,,,
Turkish Orange Salad with Mediterranean Dressing,2 tablespoons lemon juice,,,,,,,,
Turkish Orange Salad with Mediterranean Dressing,salt,,,,,,,,
Turkish Orange Salad with Mediterranean Dressing,1 pinch freshly ground black pepper,black,pepper,,,,,,
Turkish Orange Salad with Mediterranean Dressing,10 dried black olives,,,,,,,,
Acai Smoothie Bowl,"1 large banana, divided",,,,,,,,
Acai Smoothie Bowl,"3 1/2 ounces acai berry pulp, frozen, unsweetened",berry,"pulp,","frozen,",unsweetened,,,,
Acai Smoothie Bowl,"2 tablespoons soy milk, or more as needed",or,more,as,needed,,,,
Acai Smoothie Bowl,2 tablespoons granola,,,,,,,,
Orange Roasted Salmon,"2 oranges, sliced into rounds",rounds,,,,,,,
Orange Roasted Salmon,"1 onion, thinly sliced",,,,,,,,
Orange Roasted Salmon,1 1/2 tablespoons olive oil,oil,,,,,,,
Orange Roasted Salmon,5 (6 ounce) salmon fillets,fillets,,,,,,,
Orange Roasted Salmon,1 tablespoon lemon pepper,,,,,,,,
Orange Roasted Salmon,1 1/2 teaspoons garlic powder,powder,,,,,,,
Orange Roasted Salmon,1 tablespoon dried parsley,,,,,,,,
Orange Roasted Salmon,1/2 cup orange juice,,,,,,,,
Orange Roasted Salmon,1 1/2 tablespoons lemon juice,juice,,,,,,,
Orange Roasted Salmon,1 tablespoon honey,,,,,,,,
Quinoa with Asian Flavors,1 tablespoon extra-virgin olive oil,oil,,,,,,,
Quinoa with Asian Flavors,1 cup quinoa,,,,,,,,
Quinoa with Asian Flavors,2 cups chicken broth,,,,,,,,
Quinoa with Asian Flavors,2 tablespoons soy sauce,,,,,,,,
Quinoa with Asian Flavors,1 tablespoon minced fresh ginger root,ginger,root,,,,,,
Quinoa with Asian Flavors,"1 clove garlic, minced",,,,,,,,
Quinoa with Asian Flavors,"2 green onions, chopped",,,,,,,,
Chorizo-Spiced Party-Sized Chopped Veggie Salad,"1 head cauliflower, stemmed and chopped",and,chopped,,,,,,
Chorizo-Spiced Party-Sized Chopped Veggie Salad,"2 large cucumbers, seeded and chopped",and,chopped,,,,,,
Chorizo-Spiced Party-Sized Chopped Veggie Salad,"1 (8 ounce) package baby carrots, chopped",baby,"carrots,",chopped,,,,,
Chorizo-Spiced Party-Sized Chopped Veggie Salad,"8 ounces radishes, chopped",,,,,,,,
Chorizo-Spiced Party-Sized Chopped Veggie Salad,"1 (8 ounce) package mushrooms, stemmed and chopped","mushrooms,",stemmed,and,chopped,,,,
Chorizo-Spiced Party-Sized Chopped Veggie Salad,"4 ounces cilantro, chopped",,,,,,,,
Chorizo-Spiced Party-Sized Chopped Veggie Salad,"4 leaves kale, stemmed and chopped",and,chopped,,,,,,
Chorizo-Spiced Party-Sized Chopped Veggie Salad,"1 large poblano pepper, seeded and chopped",seeded,and,chopped,,,,,
Chorizo-Spiced Party-Sized Chopped Veggie Salad,1/2 cup lime juice,,,,,,,,
Chorizo-Spiced Party-Sized Chopped Veggie Salad,1/2 cup white vinegar,,,,,,,,
Chorizo-Spiced Party-Sized Chopped Veggie Salad,2 tablespoons ground paprika,,,,,,,,
Chorizo-Spiced Party-Sized Chopped Veggie Salad,1 tablespoon extra-virgin olive oil,oil,,,,,,,
Chorizo-Spiced Party-Sized Chopped Veggie Salad,1 tablespoon minced garlic,,,,,,,,
Chorizo-Spiced Party-Sized Chopped Veggie Salad,1 tablespoon minced fresh oregano,oregano,,,,,,,
Chorizo-Spiced Party-Sized Chopped Veggie Salad,1 tablespoon ground cumin,,,,,,,,
Chorizo-Spiced Party-Sized Chopped Veggie Salad,1 teaspoon chili powder,,,,,,,,
Chorizo-Spiced Party-Sized Chopped Veggie Salad,1/2 teaspoon ground cloves,,,,,,,,
Chorizo-Spiced Party-Sized Chopped Veggie Salad,1/2 teaspoon ground coriander,,,,,,,,
Chorizo-Spiced Party-Sized Chopped Veggie Salad,1 pinch salt and ground black pepper to taste,ground,black,pepper,to,taste,,,
Khitchari,4 cups water,,,,,,,,
Khitchari,1/2 cup basmati rice,,,,,,,,
Khitchari,1/2 cup split mung beans,beans,,,,,,,
Khitchari,"1 teaspoon grated fresh ginger, or more to taste","ginger,",or,more,to,taste,,,
Khitchari,1 teaspoon ground coriander,,,,,,,,
Khitchari,1 teaspoon dried oregano leaves,leaves,,,,,,,
Khitchari,"1 clove garlic, minced",,,,,,,,
Khitchari,1/2 teaspoon ground cumin,,,,,,,,
Khitchari,1/4 teaspoon fennel seeds,,,,,,,,
Hummingbird Carrot Cake Oatmeal,2/3 cup chopped fresh pineapple,pineapple,,,,,,,
Hummingbird Carrot Cake Oatmeal,1/2 cup sliced carrot,,,,,,,,
Hummingbird Carrot Cake Oatmeal,1 teaspoon water,,,,,,,,
Hummingbird Carrot Cake Oatmeal,2/3 cup almond milk,,,,,,,,
Hummingbird Carrot Cake Oatmeal,1/2 cup old-fashioned oats,,,,,,,,
Hummingbird Carrot Cake Oatmeal,1/2 teaspoon ground cinnamon (optional),(optional),,,,,,,
Hummingbird Carrot Cake Oatmeal,1/2 teaspoon ground ginger,,,,,,,,
Hummingbird Carrot Cake Oatmeal,1 tablespoon chopped walnuts,,,,,,,,
Quinoa and Black Beans,1 teaspoon vegetable oil,,,,,,,,
Quinoa and Black Beans,"1 onion, chopped",,,,,,,,
Quinoa and Black Beans,"3 cloves garlic, chopped",,,,,,,,
Quinoa and Black Beans,3/4 cup quinoa,,,,,,,,
Quinoa and Black Beans,1 1/2 cups vegetable broth,broth,,,,,,,
Quinoa and Black Beans,1 teaspoon ground cumin,,,,,,,,
Quinoa and Black Beans,1/4 teaspoon cayenne pepper,,,,,,,,
Quinoa and Black Beans,salt and ground black pepper to taste,pepper,to,taste,,,,,
Quinoa and Black Beans,1 cup frozen corn kernels,kernels,,,,,,,
Quinoa and Black Beans,"2 (15 ounce) cans black beans, rinsed and drained",black,"beans,",rinsed,and,drained,,,
Quinoa and Black Beans,1/2 cup chopped fresh cilantro,cilantro,,,,,,,
Maple Salmon,1/4 cup maple syrup,,,,,,,,
Maple Salmon,2 tablespoons soy sauce,,,,,,,,
Maple Salmon,"1 clove garlic, minced",,,,,,,,
Maple Salmon,1/4 teaspoon garlic salt,,,,,,,,
Maple Salmon,1/8 teaspoon ground black pepper,pepper,,,,,,,
Maple Salmon,1 pound salmon,,,,,,,,
Braised Balsamic Chicken,"6 skinless, boneless chicken breast halves",breast,halves,,,,,,
Braised Balsamic Chicken,1 teaspoon garlic salt,,,,,,,,
Braised Balsamic Chicken,ground black pepper to taste,taste,,,,,,,
Braised Balsamic Chicken,2 tablespoons olive oil,,,,,,,,
Braised Balsamic Chicken,"1 onion, thinly sliced",,,,,,,,
Braised Balsamic Chicken,1 (14.5 ounce) can diced tomatoes,diced,tomatoes,,,,,,
Braised Balsamic Chicken,1/2 cup balsamic vinegar,,,,,,,,
Braised Balsamic Chicken,1 teaspoon dried basil,,,,,,,,
Braised Balsamic Chicken,1 teaspoon dried oregano,,,,,,,,
Braised Balsamic Chicken,1 teaspoon dried rosemary,,,,,,,,
Braised Balsamic Chicken,1/2 teaspoon dried thyme,,,,,,,,
"s Fruit Salsa and Cinnamon Chips""""""","2 kiwis, peeled and diced",diced,,,,,,,
"s Fruit Salsa and Cinnamon Chips""""""","2 Golden Delicious apples - peeled, cored and diced",-,"peeled,",cored,and,diced,,,
"s Fruit Salsa and Cinnamon Chips""""""",8 ounces raspberries,,,,,,,,
"s Fruit Salsa and Cinnamon Chips""""""",1 pound strawberries,,,,,,,,
"s Fruit Salsa and Cinnamon Chips""""""",2 tablespoons white sugar,,,,,,,,
"s Fruit Salsa and Cinnamon Chips""""""",1 tablespoon brown sugar,,,,,,,,
"s Fruit Salsa and Cinnamon Chips""""""","3 tablespoons fruit preserves, any flavor",any,flavor,,,,,,
"s Fruit Salsa and Cinnamon Chips""""""",10 (10 inch) flour tortillas,tortillas,,,,,,,
"s Fruit Salsa and Cinnamon Chips""""""",butter flavored cooking spray,,,,,,,,
"s Fruit Salsa and Cinnamon Chips""""""",2 tablespoons cinnamon sugar,,,,,,,,
Homemade Black Bean Veggie Burgers,"1 (16 ounce) can black beans, drained and rinsed",black,"beans,",drained,and,rinsed,,,
Homemade Black Bean Veggie Burgers,"1/2 green bell pepper, cut into 2 inch pieces",cut,into,2,inch,pieces,,,
Homemade Black Bean Veggie Burgers,"1/2 onion, cut into wedges",wedges,,,,,,,
Homemade Black Bean Veggie Burgers,"3 cloves garlic, peeled",,,,,,,,
Homemade Black Bean Veggie Burgers,1 egg,,,,,,,,
Homemade Black Bean Veggie Burgers,1 tablespoon chili powder,,,,,,,,
Homemade Black Bean Veggie Burgers,1 tablespoon cumin,,,,,,,,
Homemade Black Bean Veggie Burgers,1 teaspoon Thai chili sauce or hot sauce,sauce,or,hot,sauce,,,,
Homemade Black Bean Veggie Burgers,1/2 cup bread crumbs,,,,,,,,
Amazing Pork Tenderloin in the Slow Cooker,1 (2 pound) pork tenderloin,tenderloin,,,,,,,
Amazing Pork Tenderloin in the Slow Cooker,1 (1 ounce) envelope dry onion soup mix,dry,onion,soup,mix,,,,
Amazing Pork Tenderloin in the Slow Cooker,1 cup water,,,,,,,,
